arrival_date_year,country,revenue
2019,VEN,2767.1
2019,VGB,301.5
2019,VNM,1583.53
2019,ZAF,10861.62
2019,ZMB,214.2
2020,ABW,297
2020,AGO,124317.39
2020,ALB,1215.8
2020,AND,4873.99
2020,ARE,13774.16
2020,ARG,36789.75
2020,ARM,251.7
2020,ASM,72.07
2020,ATA,186
2020,ATF,252
2020,AUS,71875.63
2020,AUT,171739.58
2020,AZE,5645.2
2020,BEL,450159.630000001
2020,BEN,489.6
2020,BGD,3790.03
2020,BGR,12826.37
2020,BHR,1683.8
2020,BHS,355.95
2020,BIH,1261.8
2020,BLR,4978.15
2020,BRA,405253.22
2020,CAF,543.68
2020,CHE,367582.25
2020,CHL,6760.28
2020,CHN,120416.13
2020,CIV,2672
2020,CMR,877.82
2020,CN,247002.62
2020,COL,12047.4
2020,COM,259
2020,CPV,5107.54
2020,CRI,1371.2
2020,CUB,1374.38
2020,CYP,11070.9
2020,CZE,23214.9
2020,DEU,997734.749999999
2020,DJI,273
2020,DNK,105939.82
2020,DOM,5479.9
2020,DZA,12070.24
2020,ECU,6498.99
2020,EGY,2946.48
2020,ESP,1130800.16
2020,EST,15555.39
2020,ETH,848.4
2020,FIN,68863.18
2020,FJI,405.99
2020,FRA,1588490.28
2020,FRO,4933
2020,GAB,783
2020,GBR,2153413.12999999
2020,GEO,9791.18
2020,GHA,1475
2020,GIB,3822
2020,GNB,523.6
2020,GRC,20853.95
2020,GTM,368
2020,HKG,3202.3
2020,HRV,19663.3
2020,HUN,49268.53
2020,IDN,6275.85
2020,IMN,648
2020,IND,19082.53
2020,IRL,698839.779999999
2020,IRN,23858.09
2020,IRQ,912
2020,ISL,9053.99
2020,ISR,60987.97
2020,ITA,501701.42
2020,JAM,1115
2020,JEY,608
2020,JOR,3072.3
2020,JPN,27552.23
2020,KAZ,4339.8
2020,KEN,2054.6
2020,KIR,432
2020,KNA,228.8
2020,KOR,16127.27
2020,KWT,3404.02
2020,LAO,909.99
2020,LBN,4696.72
2020,LBY,510
2020,LIE,394.4
2020,LKA,2135
2020,LTU,12799.04
2020,LUX,77941.36
2020,LVA,8242.33
2020,MAC,3139.92
2020,MAR,64923.92
2020,MCO,446.12
2020,MDG,44
2020,MDV,4489.8
2020,MEX,6919.94
2020,MLT,2239.34
2020,MNE,2079
2020,MOZ,13453.96
2020,MRT,585.9
2020,MUS,657.2
2020,MYS,960.08
2020,MYT,1480.5
2020,NCL,702
2020,NGA,6774.32
2020,NLD,294544.53
2020,NOR,148874.05
2020,NPL,255
2020,NULL,6724.36
2020,NZL,6840.22
2020,OMN,1541.36
2020,PAK,2568.83
2020,PAN,2256
2020,PER,3808.16
2020,PHL,10855.2
2020,POL,143490.5
2020,PRI,240
2020,PRT,2850085.75
2020,PRY,445
2020,QAT,4912.5
2020,ROU,115266.92
2020,RUS,158716.37
2020,SAU,5613.5
2020,SDN,297
2020,SEN,8974.52
2020,SGP,2494.25
2020,SLE,850.01
2020,SLV,320
2020,SRB,7965.98
2020,STP,220
2020,SUR,1221
2020,SVK,9109.23
2020,SVN,4476.43
2020,SWE,182001.69
2020,SYC,525
2020,SYR,756
2020,TGO,1784.5
2020,THA,6786.3
2020,TJK,321.3
2020,TUN,4182.81
2020,TUR,26541.71
2020,TWN,7273.59
2020,TZA,240
2020,UKR,5894.93
2020,UMI,600
2020,URY,6348.42
2020,USA,316812.62
2020,UZB,693.19
2020,VEN,2375
2020,VNM,1164.87
2020,ZAF,12914.97
2020,ZWE,816.69
