hotel,meal,total_night_booked,market_segment,revenue
Resort Hotel,HB,19,Offline TA/TO,2232
Resort Hotel,BB,5,Groups,2213
Resort Hotel,Undefined,12,Direct,2207
City Hotel,SC,16,Online TA,2195
City Hotel,BB,24,Online TA,2183
Resort Hotel,Undefined,4,Offline TA/TO,2170
Resort Hotel,Undefined,3,Direct,2167
Resort Hotel,FB,2,Groups,2165
Resort Hotel,FB,6,Offline TA/TO,2147
Resort Hotel,BB,17,Direct,2146
City Hotel,HB,1,Direct,2132
City Hotel,HB,3,Corporate,2106
City Hotel,BB,12,Direct,2102
City Hotel,HB,9,Direct,2070
City Hotel,SC,27,Online TA,2067
City Hotel,SC,5,Direct,2064
City Hotel,HB,11,Direct,2058
City Hotel,SC,4,Direct,2043
Resort Hotel,FB,5,Offline TA/TO,2014
Resort Hotel,Undefined,2,Groups,2008
City Hotel,SC,1,Offline TA/TO,2000
City Hotel,SC,16,Online TA,2000
Resort Hotel,FB,4,Offline TA/TO,1999
City Hotel,SC,29,Online TA,1991
Resort Hotel,Undefined,6,Direct,1991
Resort Hotel,FB,3,Groups,1980
City Hotel,BB,18,Offline TA/TO,1980
Resort Hotel,HB,29,Offline TA/TO,1978
City Hotel,HB,13,Online TA,1977
Resort Hotel,Undefined,3,Offline TA/TO,1957
City Hotel,BB,24,Online TA,1935
Resort Hotel,HB,1,Direct,1930
Resort Hotel,BB,5,Corporate,1912
Resort Hotel,Undefined,3,Offline TA/TO,1909
Resort Hotel,FB,4,Direct,1908
Resort Hotel,HB,28,Direct,1904
Resort Hotel,BB,45,Direct,1895
Resort Hotel,Undefined,12,Offline TA/TO,1892
Resort Hotel,Undefined,6,Groups,1880
Resort Hotel,BB,14,Corporate,1879
Resort Hotel,FB,14,Direct,1860
Resort Hotel,HB,8,Groups,1856
Resort Hotel,HB,1,Groups,1851
City Hotel,BB,11,Direct,1851
City Hotel,SC,21,Direct,1848
Resort Hotel,BB,10,Groups,1846
City Hotel,HB,11,Online TA,1846
City Hotel,SC,24,Online TA,1843
Resort Hotel,FB,3,Direct,1841
Resort Hotel,HB,3,Groups,1828
City Hotel,BB,14,Corporate,1820
City Hotel,BB,19,Corporate,1805
City Hotel,SC,12,Online TA,1805
Resort Hotel,HB,22,Direct,1800
City Hotel,BB,24,Online TA,1795
Resort Hotel,HB,12,Offline TA/TO,1788
City Hotel,SC,26,Online TA,1777
Resort Hotel,BB,26,Direct,1768
City Hotel,BB,5,Corporate,1750
City Hotel,SC,24,Online TA,1737
Resort Hotel,HB,5,Groups,1736
Resort Hotel,Undefined,9,Offline TA/TO,1724
Resort Hotel,HB,21,Groups,1722
Resort Hotel,Undefined,5,Offline TA/TO,1703
City Hotel,BB,18,Online TA,1698
Resort Hotel,BB,14,Groups,1694
City Hotel,HB,9,Offline TA/TO,1691
Resort Hotel,HB,14,Corporate,1680
City Hotel,BB,13,Corporate,1677
Resort Hotel,Undefined,5,Direct,1675
Resort Hotel,BB,16,Offline TA/TO,1656
Resort Hotel,FB,6,Groups,1655
Resort Hotel,Undefined,8,Online TA,1642
City Hotel,BB,4,Aviation,1640
Resort Hotel,FB,2,Direct,1630
Resort Hotel,HB,15,Direct,1626
Resort Hotel,HB,22,Online TA,1624
City Hotel,SC,5,Offline TA/TO,1620
Resort Hotel,FB,13,Direct,1617
City Hotel,BB,10,Offline TA/TO,1613
Resort Hotel,BB,56,Online TA,1612
City Hotel,HB,11,Online TA,1606
City Hotel,SC,3,Direct,1589
City Hotel,BB,21,Direct,1589
Resort Hotel,BB,18,Offline TA/TO,1581
City Hotel,BB,23,Online TA,1569
Resort Hotel,Undefined,8,Online TA,1568
City Hotel,BB,2,Aviation,1563
Resort Hotel,BB,23,Online TA,1561
Resort Hotel,FB,3,Online TA,1555
Resort Hotel,BB,5,Corporate,1526
City Hotel,HB,5,Groups,1525
City Hotel,BB,16,Aviation,1520
City Hotel,SC,2,Offline TA/TO,1519
Resort Hotel,HB,6,Groups,1518
City Hotel,SC,20,Online TA,1517
City Hotel,HB,10,Online TA,1508
City Hotel,BB,20,Direct,1500
Resort Hotel,BB,18,Online TA,1494
Resort Hotel,BB,26,Online TA,1451
Resort Hotel,BB,35,Direct,1451
City Hotel,HB,10,Offline TA/TO,1445
Resort Hotel,BB,2,Corporate,1430
Resort Hotel,BB,12,Corporate,1428
Resort Hotel,BB,56,Offline TA/TO,1428
Resort Hotel,FB,8,Online TA,1428
City Hotel,BB,19,Direct,1425
Resort Hotel,Undefined,4,Direct,1404
City Hotel,BB,18,Online TA,1394
Resort Hotel,FB,6,Online TA,1392
Resort Hotel,FB,5,Direct,1375
Resort Hotel,BB,19,Corporate,1368
Resort Hotel,BB,11,Corporate,1366
Resort Hotel,Undefined,9,Direct,1364
Resort Hotel,BB,27,Offline TA/TO,1349
Resort Hotel,Undefined,11,Direct,1334
Resort Hotel,Undefined,6,Online TA,1326
City Hotel,BB,12,Aviation,1320
Resort Hotel,HB,18,Offline TA/TO,1301
City Hotel,BB,11,Offline TA/TO,1296
Resort Hotel,FB,9,Offline TA/TO,1282
Resort Hotel,Undefined,12,Offline TA/TO,1282
Resort Hotel,BB,16,Corporate,1280
City Hotel,BB,11,Direct,1255
City Hotel,BB,17,Offline TA/TO,1228
Resort Hotel,HB,2,Offline TA/TO,1219
Resort Hotel,BB,8,Corporate,1217
Resort Hotel,Undefined,3,Direct,1205
City Hotel,HB,8,Offline TA/TO,1203
City Hotel,BB,17,Direct,1201
Resort Hotel,HB,15,Groups,1200
Resort Hotel,BB,17,Online TA,1186
Resort Hotel,FB,4,Direct,1152
City Hotel,BB,15,Direct,1151
City Hotel,SC,2,Direct,1151
Resort Hotel,HB,17,Offline TA/TO,1149
Resort Hotel,FB,3,Offline TA/TO,1148
City Hotel,SC,8,Offline TA/TO,1146
Resort Hotel,HB,15,Online TA,1107
Resort Hotel,Undefined,8,Offline TA/TO,1102
City Hotel,BB,10,Aviation,1100
City Hotel,BB,5,Aviation,1100
Resort Hotel,BB,29,Online TA,1097
City Hotel,SC,11,Online TA,1089
Resort Hotel,HB,9,Groups,1088
Resort Hotel,BB,12,Corporate,1074
Resort Hotel,BB,12,Groups,1068
City Hotel,BB,11,Corporate,1056
Resort Hotel,HB,17,Online TA,1047
Resort Hotel,FB,6,Online TA,1044
Resort Hotel,Undefined,5,Online TA,1036
City Hotel,HB,10,Offline TA/TO,1023
City Hotel,FB,3,Groups,1008
City Hotel,BB,1,Aviation,1003
City Hotel,BB,2,Complementary,1000
Resort Hotel,BB,21,Direct,998
Resort Hotel,FB,12,Offline TA/TO,994
Resort Hotel,BB,9,Groups,970
Resort Hotel,FB,2,Offline TA/TO,969
Resort Hotel,Undefined,10,Direct,960
Resort Hotel,Undefined,2,Groups,944
City Hotel,HB,8,Offline TA/TO,929
City Hotel,HB,1,Corporate,924
City Hotel,BB,10,Offline TA/TO,910
Resort Hotel,Undefined,2,Offline TA/TO,905
Resort Hotel,FB,2,Online TA,902
Resort Hotel,BB,12,Corporate,900
City Hotel,SC,12,Direct,900
Resort Hotel,HB,11,Groups,891
Resort Hotel,FB,2,Offline TA/TO,887
Resort Hotel,Undefined,4,Online TA,882
Resort Hotel,HB,1,Corporate,874
City Hotel,BB,9,Offline TA/TO,872
Resort Hotel,FB,4,Offline TA/TO,853
Resort Hotel,FB,3,Groups,840
Resort Hotel,Undefined,5,Offline TA/TO,829
City Hotel,BB,9,Corporate,825
Resort Hotel,FB,3,Direct,822
City Hotel,SC,2,Corporate,820
City Hotel,HB,2,Groups,812
Resort Hotel,HB,10,Groups,800
Resort Hotel,Undefined,2,Online TA,800
City Hotel,SC,11,Offline TA/TO,782
Resort Hotel,FB,1,Offline TA/TO,772
Resort Hotel,BB,7,Complementary,768
City Hotel,BB,8,Aviation,760
Resort Hotel,HB,5,Corporate,760
Resort Hotel,HB,2,Corporate,756
Resort Hotel,HB,1,Offline TA/TO,740
Resort Hotel,HB,1,Offline TA/TO,736
Resort Hotel,Undefined,2,Direct,734
City Hotel,HB,1,Offline TA/TO,727
Resort Hotel,BB,10,Groups,726
City Hotel,HB,9,Offline TA/TO,721
Resort Hotel,HB,9,Groups,720
Resort Hotel,Undefined,8,Groups,720
Resort Hotel,FB,1,Direct,683
City Hotel,SC,1,Corporate,673
Resort Hotel,BB,11,Groups,666
City Hotel,BB,6,Aviation,660
City Hotel,BB,10,Corporate,650
Resort Hotel,Undefined,6,Groups,630
Resort Hotel,BB,16,Online TA,621
City Hotel,SC,9,Offline TA/TO,604
Resort Hotel,FB,3,Groups,582
Resort Hotel,BB,6,Corporate,570
City Hotel,BB,6,Aviation,570
City Hotel,SC,8,Offline TA/TO,569
Resort Hotel,FB,3,Online TA,568
City Hotel,HB,5,Groups,567
City Hotel,HB,7,Groups,556
City Hotel,SC,10,Offline TA/TO,552
Resort Hotel,FB,2,Direct,548
Resort Hotel,BB,11,Groups,517
Resort Hotel,Undefined,4,Direct,515
City Hotel,SC,6,Offline TA/TO,510
Resort Hotel,BB,20,Offline TA/TO,499
Resort Hotel,FB,4,Online TA,482
City Hotel,BB,8,Groups,480
City Hotel,SC,57,Online TA,475
Resort Hotel,Undefined,1,Direct,445
Resort Hotel,Undefined,4,Groups,440
Resort Hotel,HB,2,Corporate,412
City Hotel,BB,3,Complementary,392
Resort Hotel,Undefined,1,Offline TA/TO,380
City Hotel,BB,2,Complementary,377
Resort Hotel,HB,1,Corporate,357
City Hotel,HB,2,Direct,342
Resort Hotel,Undefined,2,Direct,338
Resort Hotel,FB,4,Groups,336
Resort Hotel,FB,4,Groups,336
City Hotel,BB,6,Complementary,333
Resort Hotel,BB,9,Corporate,324
Resort Hotel,HB,4,Corporate,320
Resort Hotel,SC,4,Offline TA/TO,302
Resort Hotel,Undefined,5,Online TA,273
City Hotel,BB,1,Complementary,259
Resort Hotel,SC,5,Complementary,252
Resort Hotel,SC,5,Groups,250
Resort Hotel,SC,7,Groups,250
hotel,BB,2,Online TA,238
City Hotel,BB,3,Complementary,237
Resort Hotel,HB,2,Complementary,234
Resort Hotel,Undefined,2,Online TA,230
Resort Hotel,FB,3,Corporate,228
Resort Hotel,BB,2,Complementary,224
Resort Hotel,SC,10,Groups,224
Resort Hotel,SC,4,Groups,222
City Hotel,FB,1,Direct,216
Resort Hotel,BB,2,Complementary,213
City Hotel,FB,1,Offline TA/TO,206
Resort Hotel,SC,17,Groups,196
Resort Hotel,HB,3,Corporate,178
hotel,BB,3,Online TA,174
Resort Hotel,FB,1,Groups,160
City Hotel,BB,1,Complementary,139
Resort Hotel,FB,2,Corporate,136
Resort Hotel,Undefined,1,Online TA,122
Resort Hotel,Undefined,3,Direct,119
City Hotel,HB,4,Complementary,116
Resort Hotel,FB,2,Complementary,108
City Hotel,BB,5,Complementary,100
Resort Hotel,Undefined,1,Corporate,97
City Hotel,HB,1,Groups,88
Resort Hotel,SC,4,Direct,84
Resort Hotel,SC,8,Online TA,84
City Hotel,BB,2,Complementary,83
Resort Hotel,FB,1,Direct,82
Resort Hotel,FB,1,Offline TA/TO,82
City Hotel,SC,1,Corporate,80
Resort Hotel,SC,1,Direct,80
Resort Hotel,BB,3,Complementary,77
Resort Hotel,HB,1,Groups,74
hotel,HB,1,Groups,72
City Hotel,BB,2,Undefined,72
Resort Hotel,BB,1,Complementary,68
Resort Hotel,SC,7,Complementary,64
Resort Hotel,SC,7,Direct,59
Resort Hotel,HB,1,Complementary,56
Resort Hotel,Undefined,1,Groups,55
Resort Hotel,Undefined,1,Groups,55
Resort Hotel,BB,5,Complementary,30
City Hotel,SC,8,Groups,27
Resort Hotel,BB,5,Complementary,26
City Hotel,BB,1,Undefined,24
Resort Hotel,SC,7,Offline TA/TO,21
Resort Hotel,SC,4,Online TA,18
City Hotel,SC,3,Corporate,18
Resort Hotel,SC,9,Groups,14
Resort Hotel,SC,9,Offline TA/TO,14
Resort Hotel,BB,2,Complementary,12
Resort Hotel,SC,38,Groups,10
City Hotel,BB,5,Complementary,8
Resort Hotel,BB,1,Complementary,6
City Hotel,HB,2,Complementary,6
Resort Hotel,SC,1,Corporate,6
City Hotel,SC,2,Corporate,2
City Hotel,SC,5,Corporate,0
City Hotel,SC,12,Corporate,0
City Hotel,SC,15,Corporate,0
City Hotel,SC,22,Corporate,0
Resort Hotel,SC,0,Corporate,0
Resort Hotel,SC,2,Corporate,0
Resort Hotel,SC,3,Corporate,0
Resort Hotel,SC,3,Corporate,0
Resort Hotel,SC,4,Corporate,0
Resort Hotel,SC,8,Corporate,0
Resort Hotel,SC,9,Corporate,0
Resort Hotel,SC,9,Corporate,0
City Hotel,BB,0,Direct,0
Resort Hotel,BB,0,Direct,0
Resort Hotel,SC,12,Complementary,0
Resort Hotel,SC,30,Complementary,0
Resort Hotel,Undefined,3,Complementary,0
Resort Hotel,Undefined,3,Complementary,0
Resort Hotel,Undefined,3,Complementary,0
City Hotel,BB,0,Corporate,0
City Hotel,BB,49,Corporate,0
Resort Hotel,BB,0,Corporate,0
Resort Hotel,BB,4,Complementary,0
Resort Hotel,BB,3,Complementary,0
City Hotel,BB,3,Complementary,0
City Hotel,BB,4,Complementary,0
City Hotel,BB,6,Complementary,0
City Hotel,BB,9,Complementary,0
City Hotel,BB,14,Complementary,0
City Hotel,HB,1,Complementary,0
City Hotel,HB,2,Complementary,0
City Hotel,HB,1,Complementary,0
City Hotel,FB,1,Complementary,0
City Hotel,FB,2,Complementary,0
City Hotel,FB,3,Complementary,0
City Hotel,FB,2,Complementary,0
Resort Hotel,FB,1,Complementary,0
Resort Hotel,FB,2,Complementary,0
Resort Hotel,HB,1,Complementary,0
Resort Hotel,HB,4,Complementary,0
Resort Hotel,HB,8,Complementary,0
City Hotel,SC,0,Complementary,0
City Hotel,SC,1,Complementary,0
City Hotel,SC,2,Complementary,0
City Hotel,SC,1,Complementary,0
Resort Hotel,SC,1,Complementary,0
City Hotel,BB,4,Complementary,0
City Hotel,BB,5,Complementary,0
City Hotel,BB,0,Complementary,0
City Hotel,BB,0,Aviation,0
Resort Hotel,Undefined,0,Groups,0
Resort Hotel,SC,8,Groups,0
Resort Hotel,SC,6,Groups,0
City Hotel,BB,0,Offline TA/TO,0
City Hotel,SC,10,Groups,0
Resort Hotel,SC,1,Groups,0
Resort Hotel,SC,2,Groups,0
Resort Hotel,SC,3,Groups,0
Resort Hotel,SC,5,Groups,0
Resort Hotel,SC,4,Groups,0
City Hotel,SC,0,Groups,0
City Hotel,SC,3,Groups,0
City Hotel,SC,2,Groups,0
City Hotel,SC,4,Groups,0
City Hotel,SC,6,Groups,0
Resort Hotel,HB,8,Groups,0
Resort Hotel,HB,0,Groups,0
City Hotel,HB,0,Groups,0
Resort Hotel,BB,0,Groups,0
Resort Hotel,BB,12,Groups,0
Resort Hotel,SC,8,Direct,0
Resort Hotel,SC,11,Direct,0
Resort Hotel,SC,12,Direct,0
Resort Hotel,SC,14,Direct,0
Resort Hotel,SC,5,Direct,0
Resort Hotel,SC,6,Direct,0
Resort Hotel,SC,2,Direct,0
Resort Hotel,SC,4,Direct,0
Resort Hotel,SC,4,Direct,0
Resort Hotel,SC,3,Direct,0
City Hotel,SC,27,Direct,0
Resort Hotel,SC,0,Direct,0
City Hotel,SC,0,Direct,0
City Hotel,BB,0,Groups,0
Resort Hotel,HB,0,Direct,0
City Hotel,HB,0,Direct,0
Resort Hotel,SC,14,Offline TA/TO,0
Resort Hotel,SC,15,Offline TA/TO,0
Resort Hotel,Undefined,0,Offline TA/TO,0
Resort Hotel,SC,10,Offline TA/TO,0
Resort Hotel,SC,8,Offline TA/TO,0
Resort Hotel,SC,9,Offline TA/TO,0
Resort Hotel,SC,0,Offline TA/TO,0
Resort Hotel,SC,1,Offline TA/TO,0
Resort Hotel,SC,2,Offline TA/TO,0
City Hotel,SC,0,Offline TA/TO,0
Resort Hotel,BB,0,Online TA,0
City Hotel,BB,0,Online TA,0
Resort Hotel,FB,0,Offline TA/TO,0
City Hotel,BB,11,Offline TA/TO,0
Resort Hotel,BB,0,Offline TA/TO,0
Resort Hotel,HB,0,Offline TA/TO,0
City Hotel,HB,0,Offline TA/TO,0
Resort Hotel,SC,5,Online TA,0
Resort Hotel,SC,6,Online TA,0
Resort Hotel,SC,7,Online TA,0
Resort Hotel,SC,1,Online TA,0
Resort Hotel,SC,2,Online TA,0
Resort Hotel,SC,3,Online TA,0
Resort Hotel,SC,5,Online TA,0
City Hotel,SC,29,Online TA,0
Resort Hotel,SC,29,Online TA,0
Resort Hotel,SC,46,Online TA,0
City Hotel,SC,43,Online TA,0
City Hotel,SC,48,Online TA,0
City Hotel,HB,0,Online TA,0
City Hotel,SC,0,Online TA,0
Resort Hotel,HB,0,Online TA,0
