meal,family,market_segment,revenue
SC,4,Online TA,148
BB,3,Complementary,146
HB,3,Corporate,120
FB,4,Complementary,108
BB,NULL,Undefined,72
BB,4,Complementary,70
SC,2,Complementary,64
BB,0,Offline TA/TO,63
HB,2,Online TA,56
BB,NULL,Direct,48
BB,2,Offline TA/TO,48
BB,4,Complementary,42
BB,4,Complementary,40
BB,3,Offline TA/TO,36
BB,3,Complementary,32
SC,0,Groups,27
BB,NULL,Undefined,24
SC,0,Corporate,20
SC,1,Complementary,12
HB,1,Complementary,10
BB,2,Complementary,6
BB,0,Aviation,0
BB,0,Complementary,0
BB,0,Corporate,0
BB,0,Groups,0
BB,2,Complementary,0
BB,2,Corporate,0
BB,3,Complementary,0
BB,4,Complementary,0
BB,5,Complementary,0
BB,5,Direct,0
BB,6,Direct,0
BB,10,Direct,0
BB,20,Direct,0
BB,26,Offline TA/TO,0
BB,40,Direct,0
BB,50,Direct,0
FB,1,Complementary,0
FB,2,Complementary,0
FB,4,Complementary,0
HB,0,Groups,0
HB,0,Offline TA/TO,0
HB,27,Direct,0
HB,55,Direct,0
SC,0,Complementary,0
SC,1,Groups,0
SC,4,Complementary,0
Undefined,1,Complementary,0
Undefined,2,Complementary,0
